airspeed_ms,elevator_deg,throttle_avg,cost,max_derivative
50.000000,-8.403982,0.113813,2245.926144,6.658746
57.777778,-10.089506,0.101793,1643.454717,5.704119
65.555556,-11.009037,0.095800,1065.489876,4.595932
73.333333,-11.521339,0.095310,561.506894,3.335251
81.111111,-11.900555,0.094349,189.136709,1.934219
88.888889,-12.007461,0.105778,8.315289,0.398296
96.666667,-12.279319,0.102443,86.100435,1.312129
104.444444,-12.484624,0.099617,492.191970,3.133294
112.222222,-12.642605,0.097262,1304.695923,5.096724
120.000000,-12.766446,0.095306,2607.734860,7.202274
