time,u,v,w,p,q,r,phi_deg,theta_deg,psi_deg,airspeed,alpha_deg
0.000000000000000000e+00,8.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.729577951308232997e+00,0.000000000000000000e+00,8.500000000000000000e+01,0.000000000000000000e+00
1.204948939844103595e-05,8.499999182657052188e+01,-1.789852654447965546e-07,1.358099832212829386e-05,1.964784158405340778e-07,-1.220802959485533395e-04,4.363716017798727835e-07,8.578102712500789459e-11,5.729577908413494569e+00,1.706264142590751853e-10,8.499999182657160191e+01,9.154517179482324208e-06
2.194506808227359102e-05,8.499998511419354941e+01,-3.262181089634945624e-07,2.464799317094035539e-05,3.102717178974843667e-07,-2.129947656110597258e-04,6.136219547718580906e-07,2.623941864883091538e-10,5.729577813045812817e+00,4.750140122173377370e-10,8.499998511419713054e+01,1.661442622919118706e-05
3.184064676610614609e-05,8.499997840182410869e+01,-4.735614518755862519e-07,3.564415444935165023e-05,3.777936092852466159e-07,-2.962514558362579339e-04,7.082761534484703369e-07,4.970907551239487130e-10,5.729577668334997931e+00,8.544539260951021293e-10,8.499997840183158360e+01,2.402658980224349627e-05
4.779099212010335805e-05,8.499996758240102679e+01,-7.111700107013536744e-07,5.323429014511989042e-05,4.310999875072010473e-07,-4.159617910733723464e-04,7.762181048019094932e-07,9.389504817846171671e-10,5.729577341603606655e+00,1.541569084132580194e-09,8.499996758241771033e+01,3.588354486997893082e-05
6.374133747410057002e-05,8.499995676299789693e+01,-9.488342248436526273e-07,7.067794749567518154e-05,4.531360780534778026e-07,-5.198871675440497244e-04,7.988182577452431244e-07,1.416803011114595349e-09,5.729576912855709026e+00,2.266893381583231114e-09,8.499995676302728498e+01,4.764176654159577566e-05
7.969168282809778198e-05,8.499994594361491806e+01,-1.186514999405131495e-06,8.799440221709602615e-05,4.633207772891596395e-07,-6.101375075765111660e-04,8.044866316443355087e-07,1.909677941161185691e-09,5.729576395529817567e+00,3.003941981940244771e-09,8.499994594366047806e+01,5.931424793092049906e-05
9.564202818209499395e-05,8.499993512425226072e+01,-1.424197731090677401e-06,1.052003535098742690e-04,4.690646336556664105e-07,-6.885407026333505544e-04,8.038289596814635770e-07,2.409686350938018114e-09,5.729575801268164348e+00,3.742821874343663497e-09,8.499993512431737486e+01,7.091224541037575177e-05
1.157121181737911933e-04,8.499992151043305455e+01,-1.723265232634888636e-06,1.267154804527449263e-04,4.740794783076042828e-07,-7.727841522818068402e-04,7.998516185962988055e-07,3.044625567214870444e-09,5.729574959634926579e+00,4.669699297116460687e-09,8.499992151052752831e+01,8.541492862458994985e-05
1.357822081654873792e-04,8.499990789664649071e+01,-2.022323603805343958e-06,1.481029537183281336e-04,4.782965445042012306e-07,-8.434481343363034803e-04,7.947389468510978811e-07,3.684242608876083989e-09,5.729574029170039218e+00,5.591191562335034011e-09,8.499990789677553948e+01,9.983156913288564920e-05
